ang | sin(ang) | cos(ang)
  0 | 0.00000 | 1.00000
  5 | 0.08716 | 0.99619
 10 | 0.17365 | 0.98481
 15 | 0.25882 | 0.96593
 20 | 0.34202 | 0.93969
 25 | 0.42262 | 0.90631
 30 | 0.50000 | 0.86603
 35 | 0.57358 | 0.81915
 40 | 0.64279 | 0.76604
 45 | 0.70711 | 0.70711
 50 | 0.76604 | 0.64279
 55 | 0.81915 | 0.57358
 60 | 0.86603 | 0.50000
 65 | 0.90631 | 0.42262
 70 | 0.93969 | 0.34202
 75 | 0.96593 | 0.25882
 80 | 0.98481 | 0.17365
 85 | 0.99619 | 0.08716
 90 | 1.00000 | 0.00000
 95 | 0.99619 | -0.08716
100 | 0.98481 | -0.17365
105 | 0.96593 | -0.25882
110 | 0.93969 | -0.34202
115 | 0.90631 | -0.42262
120 | 0.86603 | -0.50000
125 | 0.81915 | -0.57358
130 | 0.76604 | -0.64279
135 | 0.70711 | -0.70711
140 | 0.64279 | -0.76604
145 | 0.57358 | -0.81915
150 | 0.50000 | -0.86603
155 | 0.42262 | -0.90631
160 | 0.34202 | -0.93969
165 | 0.25882 | -0.96593
170 | 0.17365 | -0.98481
175 | 0.08716 | -0.99619
180 | 0.00000 | -1.00000
185 | -0.08716 | -0.99619
190 | -0.17365 | -0.98481
195 | -0.25882 | -0.96593
200 | -0.34202 | -0.93969
205 | -0.42262 | -0.90631
210 | -0.50000 | -0.86603
215 | -0.57358 | -0.81915
220 | -0.64279 | -0.76604
225 | -0.70711 | -0.70711
230 | -0.76604 | -0.64279
235 | -0.81915 | -0.57358
240 | -0.86603 | -0.50000
245 | -0.90631 | -0.42262
250 | -0.93969 | -0.34202
255 | -0.96593 | -0.25882
260 | -0.98481 | -0.17365
265 | -0.99619 | -0.08716
270 | -1.00000 | -0.00000
275 | -0.99619 | 0.08716
280 | -0.98481 | 0.17365
285 | -0.96593 | 0.25882
290 | -0.93969 | 0.34202
295 | -0.90631 | 0.42262
300 | -0.86603 | 0.50000
305 | -0.81915 | 0.57358
310 | -0.76604 | 0.64279
315 | -0.70711 | 0.70711
320 | -0.64279 | 0.76604
325 | -0.57358 | 0.81915
330 | -0.50000 | 0.86603
335 | -0.42262 | 0.90631
340 | -0.34202 | 0.93969
345 | -0.25882 | 0.96593
350 | -0.17365 | 0.98481
355 | -0.08716 | 0.99619
